student_id,date,food,study_materials,transport,entertainment,daily_supplies,total
STU_0001,2023-11-10,34,6,0,23,0,63
STU_0001,2023-11-11,32,7,0,7,0,46
STU_0001,2023-11-12,36,10,0,18,0,64
STU_0001,2023-11-13,47,13,0,12,0,72
STU_0001,2023-11-14,37,11,0,46,0,94
STU_0001,2023-11-15,27,12,5,15,0,59
STU_0001,2023-11-16,38,17,0,34,5,94
STU_0001,2023-11-17,25,17,0,13,0,55
STU_0001,2023-11-18,33,0,0,6,0,39
STU_0001,2023-11-19,27,4,0,21,0,52
STU_0001,2023-11-20,30,8,0,23,10,71
STU_0001,2023-11-21,16,2,50,36,5,109
STU_0001,2023-11-22,38,3,0,29,0,70
STU_0001,2023-11-23,30,28,0,58,0,116
STU_0001,2023-11-24,39,14,0,15,0,68
STU_0001,2023-11-25,30,4,0,19,0,53
STU_0001,2023-11-26,20,2,0,19,0,41
STU_0001,2023-11-27,35,5,0,17,0,57
STU_0001,2023-11-28,34,7,0,36,0,77
STU_0001,2023-11-29,44,19,0,34,0,97
STU_0001,2023-11-30,31,39,0,44,0,114
STU_0001,2023-12-01,33,17,0,22,0,72
STU_0001,2023-12-02,37,16,10,35,0,98
STU_0001,2023-12-03,21,17,0,0,0,38
STU_0001,2023-12-04,38,5,15,8,0,66
STU_0001,2023-12-05,46,11,0,24,0,81
STU_0001,2023-12-06,28,12,0,69,0,109
STU_0001,2023-12-07,21,10,0,54,10,95
STU_0001,2023-12-08,34,5,0,26,0,65
STU_0001,2023-12-09,19,20,5,36,0,80
STU_0001,2023-12-10,51,17,0,26,0,94
STU_0001,2023-12-11,28,1,0,15,0,44
STU_0001,2023-12-12,34,8,0,50,0,92
STU_0001,2023-12-13,30,2,0,36,0,68
STU_0001,2023-12-14,13,1,15,61,0,90
STU_0001,2023-12-15,27,2,0,20,0,49
STU_0001,2023-12-16,38,0,0,16,5,59
STU_0001,2023-12-17,33,1,0,16,0,50
STU_0001,2023-12-18,33,6,30,18,0,87
STU_0001,2023-12-19,33,3,0,34,20,90
STU_0001,2023-12-20,33,3,10,48,20,114
STU_0001,2023-12-21,31,6,0,42,0,79
STU_0001,2023-12-22,40,20,0,30,0,90
STU_0001,2023-12-23,28,9,0,24,0,61
STU_0001,2023-12-24,23,0,5,28,0,56
STU_0001,2023-12-25,31,7,0,23,0,61
STU_0001,2023-12-26,7,3,50,28,0,88
STU_0001,2023-12-27,39,1,0,14,0,54
STU_0001,2023-12-28,27,0,0,41,0,68
STU_0001,2023-12-29,33,1,0,9,0,43
STU_0001,2023-12-30,40,10,0,12,0,62
STU_0001,2023-12-31,25,26,0,26,0,77
STU_0001,2024-01-01,22,0,10,23,0,55
STU_0002,2023-09-26,30,6,0,37,0,73
STU_0002,2023-09-27,23,9,0,45,0,77
STU_0002,2023-09-28,36,3,15,42,0,96
STU_0002,2023-09-29,20,2,0,20,0,42
STU_0002,2023-09-30,31,11,0,26,0,68
STU_0002,2023-10-01,22,0,0,26,100,148
STU_0002,2023-10-02,31,22,0,37,0,90
STU_0002,2023-10-03,41,4,0,23,0,68
STU_0002,2023-10-04,26,6,0,48,50,130
STU_0002,2023-10-05,24,22,0,68,10,124
STU_0002,2023-10-06,44,0,0,28,0,72
STU_0002,2023-10-07,21,2,10,23,0,56
STU_0002,2023-10-08,24,3,0,17,0,44
STU_0002,2023-10-09,22,0,0,17,0,39
STU_0002,2023-10-10,24,2,10,65,0,101
STU_0002,2023-10-11,26,1,0,21,0,48
STU_0002,2023-10-12,37,4,0,49,0,90
STU_0002,2023-10-13,18,22,0,11,15,66
STU_0002,2023-10-14,25,14,0,18,5,62
STU_0002,2023-10-15,19,1,0,11,0,31
STU_0002,2023-10-16,34,7,0,47,0,88
STU_0002,2023-10-17,41,6,0,49,0,96
STU_0002,2023-10-18,7,14,0,49,0,70
STU_0002,2023-10-19,45,2,5,58,0,110
STU_0002,2023-10-20,29,1,0,18,0,48
STU_0002,2023-10-21,28,3,0,14,10,55
STU_0002,2023-10-22,53,1,0,24,0,78
STU_0002,2023-10-23,31,9,5,4,0,49
STU_0002,2023-10-24,32,11,5,15,0,63
STU_0002,2023-10-25,34,0,0,20,0,54
STU_0002,2023-10-26,18,16,0,27,0,61
STU_0002,2023-10-27,30,0,0,13,0,43
STU_0002,2023-10-28,25,6,0,24,0,55
STU_0002,2023-10-29,50,3,0,10,0,63
STU_0002,2023-10-30,14,3,0,25,0,42
STU_0002,2023-10-31,46,10,5,42,0,103
STU_0002,2023-11-01,30,5,0,49,0,84
STU_0002,2023-11-02,10,2,0,54,0,66
STU_0002,2023-11-03,16,4,15,22,0,57
STU_0002,2023-11-04,43,2,15,20,0,80
STU_0002,2023-11-05,43,1,0,17,0,61
STU_0002,2023-11-06,37,1,10,26,0,74
STU_0002,2023-11-07,24,0,0,33,0,57
STU_0002,2023-11-08,38,20,10,67,0,135
STU_0002,2023-11-09,21,4,0,58,0,83
STU_0002,2023-11-10,27,6,0,24,0,57
STU_0002,2023-11-11,41,0,5,28,15,89
STU_0002,2023-11-12,24,22,0,4,0,50
STU_0002,2023-11-13,33,12,0,23,0,68
STU_0002,2023-11-14,25,1,0,43,0,69
STU_0002,2023-11-15,20,1,0,49,30,100
STU_0002,2023-11-16,13,15,5,40,0,73
STU_0002,2023-11-17,50,0,0,27,0,77
STU_0002,2023-11-18,19,0,0,26,0,45
STU_0002,2023-11-19,19,2,0,34,10,65
STU_0002,2023-11-20,9,8,0,21,0,38
STU_0002,2023-11-21,18,16,0,29,0,63
STU_0002,2023-11-22,35,19,0,68,0,122
STU_0002,2023-11-23,21,2,50,62,0,135
STU_0002,2023-11-24,22,4,0,28,0,54
STU_0002,2023-11-25,24,4,0,19,0,47
STU_0002,2023-11-26,17,5,0,15,0,37
STU_0002,2023-11-27,29,1,0,5,5,40
STU_0002,2023-11-28,39,9,10,38,0,96
STU_0002,2023-11-29,37,14,0,20,0,71
STU_0002,2023-11-30,14,22,0,34,0,70
STU_0002,2023-12-01,39,3,0,37,0,79
STU_0002,2023-12-02,45,11,0,17,0,73
STU_0002,2023-12-03,20,1,0,43,0,64
STU_0002,2023-12-04,35,24,0,28,0,87
STU_0002,2023-12-05,31,2,20,54,0,107
STU_0002,2023-12-06,36,11,0,58,0,105
STU_0002,2023-12-07,28,5,0,39,0,72
STU_0002,2023-12-08,36,6,5,10,0,57
STU_0002,2023-12-09,37,6,0,12,0,55
STU_0002,2023-12-10,46,1,0,1,30,78
STU_0002,2023-12-11,32,1,0,22,0,55
STU_0002,2023-12-12,43,1,0,5,0,49
STU_0002,2023-12-13,21,1,0,35,0,57
STU_0002,2023-12-14,28,20,5,41,0,94
STU_0002,2023-12-15,39,29,0,4,0,72
STU_0002,2023-12-16,35,3,0,3,0,41
STU_0002,2023-12-17,41,19,10,29,0,99
STU_0002,2023-12-18,5,4,0,0,0,9
STU_0002,2023-12-19,41,17,0,61,20,139
STU_0002,2023-12-20,48,1,0,85,0,134
STU_0002,2023-12-21,36,1,0,30,5,72
STU_0002,2023-12-22,34,4,20,4,0,62
STU_0002,2023-12-23,30,5,0,29,0,64
STU_0002,2023-12-24,32,4,0,24,0,60
STU_0002,2023-12-25,13,1,10,18,0,42
STU_0002,2023-12-26,15,3,0,57,0,75
STU_0002,2023-12-27,26,1,0,60,0,87
STU_0002,2023-12-28,15,2,5,57,10,89
STU_0002,2023-12-29,27,9,0,17,0,53
STU_0002,2023-12-30,37,16,0,9,0,62
STU_0002,2023-12-31,39,3,0,11,0,53
STU_0002,2024-01-01,34,5,0,14,0,53
STU_0002,2024-01-02,33,27,5,15,0,80
STU_0002,2024-01-03,15,3,0,30,0,48
STU_0003,2023-09-07,32,2,0,47,15,96
STU_0003,2023-09-08,12,29,0,23,0,64
STU_0003,2023-09-09,28,8,0,27,5,68
STU_0003,2023-09-10,48,20,0,11,0,79
STU_0003,2023-09-11,41,0,20,23,0,84
STU_0003,2023-09-12,43,24,0,35,5,107
STU_0003,2023-09-13,26,5,0,48,0,79
STU_0003,2023-09-14,34,1,0,36,0,71
STU_0003,2023-09-15,46,0,0,11,0,57
STU_0003,2023-09-16,15,4,0,17,0,36
STU_0003,2023-09-17,39,2,0,23,0,64
STU_0003,2023-09-18,18,12,0,22,0,52
STU_0003,2023-09-19,24,5,0,45,0,74
STU_0003,2023-09-20,37,1,5,42,0,85
STU_0003,2023-09-21,14,17,30,29,0,90
STU_0003,2023-09-22,36,22,5,0,0,63
STU_0003,2023-09-23,24,16,0,26,0,66
STU_0003,2023-09-24,22,2,15,21,20,80
STU_0003,2023-09-25,23,5,0,30,0,58
STU_0003,2023-09-26,36,1,0,22,0,59
STU_0003,2023-09-27,36,10,0,23,0,69
STU_0003,2023-09-28,35,8,0,43,0,86
STU_0003,2023-09-29,21,9,0,30,20,80
STU_0003,2023-09-30,47,3,0,12,0,62
STU_0003,2023-10-01,39,1,0,13,0,53
STU_0003,2023-10-02,39,4,0,1,0,44
STU_0003,2023-10-03,45,18,15,42,0,120
STU_0003,2023-10-04,39,20,15,49,0,123
STU_0003,2023-10-05,30,6,0,32,0,68
STU_0003,2023-10-06,19,17,0,14,0,50
STU_0003,2023-10-07,27,1,0,23,0,51
STU_0003,2023-10-08,17,1,0,30,0,48
STU_0003,2023-10-09,18,6,0,24,0,48
STU_0003,2023-10-10,17,9,0,33,20,79
STU_0003,2023-10-11,18,0,0,30,10,58
STU_0003,2023-10-12,33,1,0,46,0,80
STU_0003,2023-10-13,22,6,0,19,0,47
STU_0003,2023-10-14,34,15,0,33,0,82
STU_0003,2023-10-15,34,4,5,28,0,71
STU_0003,2023-10-16,29,12,0,22,0,63
STU_0003,2023-10-17,28,15,0,25,0,68
STU_0003,2023-10-18,28,1,0,38,0,67
STU_0003,2023-10-19,62,20,0,25,5,112
STU_0003,2023-10-20,22,9,5,2,10,48
STU_0003,2023-10-21,39,5,10,25,0,79
STU_0003,2023-10-22,32,0,0,16,0,48
STU_0003,2023-10-23,40,9,0,26,0,75
STU_0003,2023-10-24,10,1,0,19,0,30
STU_0003,2023-10-25,38,2,5,52,0,97
STU_0003,2023-10-26,38,6,0,33,0,77
STU_0003,2023-10-27,36,7,0,7,0,50
STU_0003,2023-10-28,14,2,0,9,0,25
STU_0003,2023-10-29,27,2,0,8,0,37
STU_0003,2023-10-30,14,7,0,31,0,52
STU_0003,2023-10-31,34,12,0,44,0,90
STU_0003,2023-11-01,16,28,0,39,0,83
STU_0003,2023-11-02,38,18,0,19,0,75
STU_0003,2023-11-03,41,11,0,35,0,87
STU_0003,2023-11-04,13,18,0,0,0,31
STU_0003,2023-11-05,15,8,5,11,0,39
STU_0003,2023-11-06,39,3,0,15,0,57
STU_0003,2023-11-07,35,26,0,31,0,92
STU_0003,2023-11-08,39,4,0,47,0,90
STU_0003,2023-11-09,29,39,0,49,0,117
STU_0003,2023-11-10,17,5,5,12,0,39
STU_0003,2023-11-11,15,4,0,23,0,42
STU_0003,2023-11-12,18,11,0,12,0,41
STU_0003,2023-11-13,9,11,10,29,0,59
STU_0003,2023-11-14,19,0,0,23,30,72
STU_0003,2023-11-15,16,27,0,28,0,71
STU_0003,2023-11-16,42,3,0,51,0,96
STU_0003,2023-11-17,36,15,0,12,0,63
STU_0003,2023-11-18,50,10,0,40,0,100
STU_0003,2023-11-19,22,27,0,20,0,69
STU_0003,2023-11-20,15,2,0,26,0,43
STU_0003,2023-11-21,30,20,20,45,0,115
STU_0003,2023-11-22,30,7,0,37,0,74
STU_0003,2023-11-23,49,0,0,42,0,91
STU_0003,2023-11-24,19,5,0,3,0,27
STU_0003,2023-11-25,34,17,0,25,30,106
STU_0003,2023-11-26,26,3,0,28,0,57
STU_0003,2023-11-27,44,6,0,0,0,50
STU_0003,2023-11-28,38,1,0,53,30,122
STU_0003,2023-11-29,23,8,0,35,0,66
STU_0003,2023-11-30,23,12,0,30,0,65
STU_0003,2023-12-01,44,5,5,22,50,126
STU_0003,2023-12-02,32,3,0,25,0,60
STU_0003,2023-12-03,20,14,0,47,0,81
STU_0003,2023-12-04,28,15,0,30,0,73
STU_0003,2023-12-05,28,2,0,28,0,58
STU_0003,2023-12-06,39,13,5,43,0,100
STU_0003,2023-12-07,14,4,10,34,0,62
STU_0003,2023-12-08,47,2,0,20,0,69
STU_0003,2023-12-09,26,5,0,33,0,64
STU_0003,2023-12-10,26,5,0,19,0,50
STU_0003,2023-12-11,10,6,15,23,0,54
STU_0003,2023-12-12,36,10,0,51,0,97
STU_0003,2023-12-13,16,1,0,43,0,60
STU_0003,2023-12-14,40,13,0,61,0,114
STU_0003,2023-12-15,35,12,0,18,0,65
STU_0004,2023-09-24,34,0,0,28,0,62
STU_0004,2023-09-25,29,12,0,36,0,77
STU_0004,2023-09-26,40,1,0,71,15,127
STU_0004,2023-09-27,23,18,0,37,0,78
STU_0004,2023-09-28,14,14,0,50,0,78
STU_0004,2023-09-29,17,17,15,7,0,56
STU_0004,2023-09-30,24,10,0,13,0,47
STU_0004,2023-10-01,23,2,20,28,0,73
STU_0004,2023-10-02,25,6,0,23,0,54
STU_0004,2023-10-03,11,6,0,66,0,83
STU_0004,2023-10-04,22,2,0,45,0,69
STU_0004,2023-10-05,41,4,0,55,0,100
STU_0004,2023-10-06,32,13,0,27,15,87
STU_0004,2023-10-07,24,4,0,18,0,46
STU_0004,2023-10-08,39,9,10,10,0,68
STU_0004,2023-10-09,32,15,10,6,10,73
STU_0004,2023-10-10,22,5,0,42,0,69
STU_0004,2023-10-11,37,1,0,45,0,83
STU_0004,2023-10-12,30,8,0,55,0,93
STU_0004,2023-10-13,34,1,30,29,0,94
STU_0004,2023-10-14,41,9,0,14,10,74
STU_0004,2023-10-15,27,3,0,20,0,50
STU_0004,2023-10-16,32,1,0,10,50,93
STU_0004,2023-10-17,37,3,30,36,0,106
STU_0004,2023-10-18,20,6,5,41,15,87
STU_0004,2023-10-19,17,4,0,18,0,39
STU_0004,2023-10-20,23,13,5,31,0,72
STU_0004,2023-10-21,24,1,0,19,0,44
STU_0004,2023-10-22,41,6,0,1,0,48
STU_0004,2023-10-23,50,0,0,26,0,76
STU_0004,2023-10-24,28,4,0,56,0,88
STU_0004,2023-10-25,40,33,0,22,0,95
STU_0004,2023-10-26,15,7,0,22,20,64
STU_0004,2023-10-27,22,25,0,6,5,58
STU_0004,2023-10-28,45,3,15,13,0,76
STU_0004,2023-10-29,24,2,0,33,5,64
STU_0004,2023-10-30,44,18,0,20,0,82
STU_0004,2023-10-31,35,3,0,46,0,84
STU_0004,2023-11-01,38,4,0,25,0,67
STU_0004,2023-11-02,20,0,0,34,0,54
STU_0004,2023-11-03,16,10,0,29,0,55
STU_0004,2023-11-04,19,16,0,26,0,61
STU_0004,2023-11-05,41,14,0,13,0,68
STU_0004,2023-11-06,29,3,0,31,0,63
STU_0004,2023-11-07,15,1,10,49,0,75
STU_0004,2023-11-08,34,2,0,35,0,71
STU_0004,2023-11-09,54,7,0,32,100,193
STU_0004,2023-11-10,15,3,0,25,10,53
STU_0004,2023-11-11,33,4,0,22,0,59
STU_0004,2023-11-12,16,12,0,14,0,42
STU_0004,2023-11-13,34,13,5,16,0,68
STU_0004,2023-11-14,38,0,0,46,0,84
STU_0004,2023-11-15,37,7,0,28,0,72
STU_0004,2023-11-16,27,22,0,9,15,73
STU_0004,2023-11-17,19,3,0,18,0,40
STU_0004,2023-11-18,48,5,0,18,0,71
STU_0004,2023-11-19,39,1,5,11,0,56
STU_0004,2023-11-20,23,8,0,43,0,74
STU_0004,2023-11-21,33,5,0,62,15,115
STU_0004,2023-11-22,27,5,10,55,0,97
STU_0004,2023-11-23,21,7,0,37,0,65
STU_0004,2023-11-24,40,14,0,26,5,85
STU_0004,2023-11-25,40,2,0,2,0,44
STU_0004,2023-11-26,29,1,0,19,0,49
STU_0004,2023-11-27,28,5,0,22,0,55
STU_0004,2023-11-28,38,1,0,47,0,86
STU_0004,2023-11-29,35,7,0,78,0,120
STU_0004,2023-11-30,27,5,0,38,0,70
STU_0004,2023-12-01,39,2,0,12,0,53
STU_0004,2023-12-02,20,6,0,16,0,42
STU_0004,2023-12-03,30,6,5,23,0,64
STU_0004,2023-12-04,27,11,15,20,0,73
STU_0004,2023-12-05,30,9,0,69,0,108
STU_0004,2023-12-06,24,2,0,9,0,35
STU_0004,2023-12-07,51,7,0,44,0,102
STU_0004,2023-12-08,24,1,0,23,0,48
STU_0004,2023-12-09,27,16,5,36,0,84
STU_0004,2023-12-10,30,3,20,17,0,70
STU_0004,2023-12-11,41,31,0,26,5,103
STU_0004,2023-12-12,42,7,5,66,0,120
STU_0004,2023-12-13,44,19,0,28,5,96
STU_0004,2023-12-14,44,5,0,37,0,86
STU_0004,2023-12-15,50,2,30,31,0,113
STU_0004,2023-12-16,39,8,0,33,0,80
STU_0004,2023-12-17,14,4,0,18,0,36
STU_0004,2023-12-18,21,5,0,24,100,150
STU_0004,2023-12-19,28,7,0,59,0,94
STU_0004,2023-12-20,34,1,0,47,0,82
STU_0004,2023-12-21,9,3,0,72,5,89
STU_0004,2023-12-22,27,15,0,17,0,59
STU_0004,2023-12-23,23,18,0,17,0,58
STU_0004,2023-12-24,30,14,10,30,0,84
STU_0004,2023-12-25,18,4,0,16,0,38
STU_0004,2023-12-26,40,5,5,36,5,91
STU_0004,2023-12-27,29,9,10,64,0,112
STU_0004,2023-12-28,31,0,0,51,0,82
STU_0004,2023-12-29,16,0,5,22,100,143
STU_0004,2023-12-30,18,9,0,25,0,52
STU_0004,2023-12-31,42,26,0,6,0,74
STU_0004,2024-01-01,24,21,0,20,0,65
STU_0005,2023-09-02,34,16,10,19,0,79
STU_0005,2023-09-03,21,12,0,34,0,67
STU_0005,2023-09-04,26,0,15,36,0,77
STU_0005,2023-09-05,20,1,0,42,0,63
STU_0005,2023-09-06,34,6,0,36,0,76
STU_0005,2023-09-07,13,0,0,42,0,55
STU_0005,2023-09-08,9,6,0,24,0,39
STU_0005,2023-09-09,36,3,0,16,0,55
STU_0005,2023-09-10,41,4,0,14,0,59
STU_0005,2023-09-11,32,8,5,9,0,54
STU_0005,2023-09-12,38,1,0,34,0,73
STU_0005,2023-09-13,37,1,0,31,0,69
STU_0005,2023-09-14,23,18,5,29,0,75
STU_0005,2023-09-15,20,2,0,14,0,36
STU_0005,2023-09-16,36,11,5,24,5,81
STU_0005,2023-09-17,22,7,5,33,20,87
STU_0005,2023-09-18,33,8,0,34,0,75
STU_0005,2023-09-19,19,9,0,40,0,68
STU_0005,2023-09-20,31,4,0,59,0,94
STU_0005,2023-09-21,19,0,0,32,0,51
STU_0005,2023-09-22,44,16,0,11,0,71
STU_0005,2023-09-23,25,10,5,15,0,55
STU_0005,2023-09-24,32,13,0,5,0,50
STU_0005,2023-09-25,49,4,5,22,0,80
STU_0005,2023-09-26,27,2,0,34,0,63
STU_0005,2023-09-27,29,25,10,34,0,98
STU_0005,2023-09-28,30,12,0,76,0,118
STU_0005,2023-09-29,27,3,0,28,0,58
STU_0005,2023-09-30,28,9,0,8,0,45
STU_0005,2023-10-01,27,8,0,23,0,58
STU_0005,2023-10-02,19,4,0,6,0,29
STU_0005,2023-10-03,29,7,0,34,0,70
STU_0005,2023-10-04,43,13,0,41,0,97
STU_0005,2023-10-05,33,9,0,42,0,84
STU_0005,2023-10-06,37,8,0,19,50,114
STU_0005,2023-10-07,39,0,0,29,0,68
STU_0005,2023-10-08,39,6,30,16,0,91
STU_0005,2023-10-09,49,3,0,11,0,63
STU_0005,2023-10-10,38,2,0,34,100,174
STU_0005,2023-10-11,36,7,15,53,10,121
STU_0005,2023-10-12,45,12,0,54,0,111
STU_0005,2023-10-13,41,0,0,37,0,78
STU_0005,2023-10-14,9,15,0,31,0,55
STU_0005,2023-10-15,28,19,0,13,0,60
STU_0005,2023-10-16,32,12,0,12,0,56
STU_0005,2023-10-17,17,13,0,50,0,80
STU_0005,2023-10-18,26,2,0,42,0,70
STU_0005,2023-10-19,26,9,0,44,0,79
STU_0005,2023-10-20,20,7,0,14,0,41
STU_0005,2023-10-21,34,28,0,0,0,62
STU_0005,2023-10-22,33,17,5,32,10,97
STU_0005,2023-10-23,36,3,0,35,30,104
STU_0005,2023-10-24,31,7,10,43,0,91
STU_0005,2023-10-25,21,2,0,47,0,70
STU_0005,2023-10-26,25,6,0,49,0,80
STU_0005,2023-10-27,38,1,0,23,0,62
STU_0005,2023-10-28,25,16,0,18,0,59
STU_0005,2023-10-29,52,1,0,10,0,63
STU_0005,2023-10-30,41,5,0,24,0,70
STU_0005,2023-10-31,35,3,0,17,0,55
STU_0005,2023-11-01,47,25,0,44,30,146
STU_0005,2023-11-02,41,0,0,36,0,77
STU_0005,2023-11-03,37,2,10,46,20,115
STU_0005,2023-11-04,46,5,0,8,0,59
STU_0005,2023-11-05,23,13,0,23,0,59
STU_0005,2023-11-06,44,8,0,6,0,58
STU_0005,2023-11-07,29,23,0,16,0,68
STU_0005,2023-11-08,32,0,5,36,0,73
STU_0005,2023-11-09,38,2,20,47,0,107
STU_0005,2023-11-10,36,1,0,12,0,49
STU_0005,2023-11-11,33,10,0,23,0,66
STU_0005,2023-11-12,40,12,0,21,0,73
STU_0005,2023-11-13,21,4,0,6,0,31
STU_0005,2023-11-14,25,8,0,11,10,54
STU_0005,2023-11-15,41,18,15,2,0,76
STU_0005,2023-11-16,28,1,0,8,0,37
STU_0005,2023-11-17,34,11,0,23,0,68
STU_0005,2023-11-18,22,5,0,22,0,49
STU_0005,2023-11-19,34,2,0,18,0,54
STU_0005,2023-11-20,35,8,0,30,0,73
STU_0005,2023-11-21,42,9,0,29,0,80
STU_0005,2023-11-22,30,5,0,21,0,56
STU_0005,2023-11-23,26,17,0,37,0,80
STU_0005,2023-11-24,22,1,0,39,0,62
STU_0005,2023-11-25,40,0,0,28,5,73
STU_0005,2023-11-26,28,21,0,21,0,70
STU_0005,2023-11-27,13,10,0,31,0,54
STU_0005,2023-11-28,22,1,0,17,0,40
STU_0005,2023-11-29,22,33,0,45,0,100
STU_0005,2023-11-30,34,10,5,61,0,110
STU_0005,2023-12-01,37,16,0,23,0,76
STU_0005,2023-12-02,26,2,0,21,0,49
STU_0005,2023-12-03,22,4,0,16,15,57
STU_0005,2023-12-04,23,3,0,18,0,44
STU_0005,2023-12-05,29,4,0,16,0,49
STU_0005,2023-12-06,46,3,0,26,0,75
STU_0005,2023-12-07,40,17,0,39,0,96
STU_0005,2023-12-08,23,5,5,25,0,58
STU_0005,2023-12-09,12,7,5,30,0,54
STU_0005,2023-12-10,52,14,10,22,0,98
STU_0006,2023-09-29,30,2,5,12,15,64
STU_0006,2023-09-30,35,19,5,19,0,78
STU_0006,2023-10-01,28,0,0,21,0,49
STU_0006,2023-10-02,23,1,0,33,0,57
STU_0006,2023-10-03,43,0,5,28,0,76
STU_0006,2023-10-04,31,22,0,24,10,87
STU_0006,2023-10-05,16,15,0,42,10,83
STU_0006,2023-10-06,25,2,0,24,5,56
STU_0006,2023-10-07,28,14,0,36,0,78
STU_0006,2023-10-08,25,3,10,18,0,56
STU_0006,2023-10-09,43,8,0,29,0,80
STU_0006,2023-10-10,27,12,0,36,0,75
STU_0006,2023-10-11,33,28,0,35,0,96
STU_0006,2023-10-12,30,14,0,32,0,76
STU_0006,2023-10-13,40,16,0,23,0,79
STU_0006,2023-10-14,32,7,0,23,20,82
STU_0006,2023-10-15,9,8,0,23,5,45
STU_0006,2023-10-16,28,1,0,17,0,46
STU_0006,2023-10-17,19,0,0,40,0,59
STU_0006,2023-10-18,56,22,20,35,0,133
STU_0006,2023-10-19,26,5,10,61,0,102
STU_0006,2023-10-20,27,8,0,24,0,59
STU_0006,2023-10-21,5,11,5,24,0,45
STU_0006,2023-10-22,29,0,0,18,0,47
STU_0006,2023-10-23,17,17,10,3,0,47
STU_0006,2023-10-24,37,0,30,52,0,119
STU_0006,2023-10-25,41,7,0,39,0,87
STU_0006,2023-10-26,26,13,0,50,0,89
STU_0006,2023-10-27,24,11,0,35,0,70
STU_0006,2023-10-28,19,0,0,11,0,30
STU_0006,2023-10-29,30,6,0,30,100,166
STU_0006,2023-10-30,44,22,0,25,0,91
STU_0006,2023-10-31,42,3,0,27,0,72
STU_0006,2023-11-01,37,33,0,35,0,105
STU_0006,2023-11-02,36,2,0,38,0,76
STU_0006,2023-11-03,34,10,0,16,0,60
STU_0006,2023-11-04,18,23,0,31,0,72
STU_0006,2023-11-05,36,27,0,21,0,84
STU_0006,2023-11-06,34,6,0,35,0,75
STU_0006,2023-11-07,47,10,0,45,0,102
STU_0006,2023-11-08,36,2,5,43,0,86
STU_0006,2023-11-09,38,3,0,57,0,98
STU_0006,2023-11-10,20,6,50,17,0,93
STU_0006,2023-11-11,35,4,0,21,0,60
STU_0006,2023-11-12,51,4,0,5,5,65
STU_0006,2023-11-13,10,7,0,10,10,37
STU_0006,2023-11-14,34,5,0,39,0,78
STU_0006,2023-11-15,24,11,0,66,0,101
STU_0006,2023-11-16,26,7,0,42,0,75
STU_0006,2023-11-17,34,8,0,20,20,82
STU_0006,2023-11-18,47,28,0,29,0,104
STU_0006,2023-11-19,26,1,0,11,0,38
STU_0006,2023-11-20,16,19,0,9,0,44
STU_0006,2023-11-21,16,7,0,46,0,69
STU_0006,2023-11-22,27,7,15,5,0,54
STU_0006,2023-11-23,36,39,0,68,0,143
STU_0006,2023-11-24,26,3,0,5,0,34
